cc memoryManager.c
./a.out addresses.txt
Virtual adress: 62255	Physical address: 23855	 Value: -53
Virtual adress: 21793	Physical address: 24097	 Value: 0
Virtual adress: 26544	Physical address: 24496	 Value: 0
Virtual adress: 14964	Physical address: 24692	 Value: 0
Virtual adress: 41462	Physical address: 25078	 Value: 40
Virtual adress: 56089	Physical address: 25113	 Value: 0
Virtual adress: 52038	Physical address: 25414	 Value: 50
Virtual adress: 47982	Physical address: 25710	 Value: 46
Virtual adress: 59484	Physical address: 25948	 Value: 0
Virtual adress: 50924	Physical address: 26348	 Value: 0
Virtual adress: 6942	Physical address: 26398	 Value: 6
Virtual adress: 34998	Physical address: 26806	 Value: 34
Virtual adress: 27069	Physical address: 27069	 Value: 0
Virtual adress: 51926	Physical address: 27350	 Value: 50
Virtual adress: 60645	Physical address: 7397	 Value: 0
Virtual adress: 43181	Physical address: 17581	 Value: 0
Virtual adress: 10559	Physical address: 27455	 Value: 79
Virtual adress: 4664	Physical address: 27704	 Value: 0
Virtual adress: 28578	Physical address: 28066	 Value: 27
Virtual adress: 59516	Physical address: 25980	 Value: 0
Virtual adress: 38912	Physical address: 3840	 Value: 0
Virtual adress: 63562	Physical address: 28234	 Value: 62
Virtual adress: 64846	Physical address: 2126	 Value: 63
Virtual adress: 62938	Physical address: 28634	 Value: 61
Virtual adress: 27194	Physical address: 28730	 Value: 26
Virtual adress: 28804	Physical address: 1412	 Value: 0
Virtual adress: 61703	Physical address: 22279	 Value: 65
Virtual adress: 10998	Physical address: 12534	 Value: 10
Virtual adress: 6596	Physical address: 29124	 Value: 0
Virtual adress: 37721	Physical address: 29273	 Value: 0
Virtual adress: 43430	Physical address: 29606	 Value: 42
Virtual adress: 22692	Physical address: 2980	 Value: 0
Virtual adress: 62971	Physical address: 28667	 Value: 126
Virtual adress: 47125	Physical address: 29717	 Value: 0
Virtual adress: 52521	Physical address: 29993	 Value: 0
Virtual adress: 34646	Physical address: 18006	 Value: 33
Virtual adress: 32889	Physical address: 4217	 Value: 0
Virtual adress: 13055	Physical address: 30463	 Value: -65
Virtual adress: 65416	Physical address: 30600	 Value: 0
Virtual adress: 62869	Physical address: 28565	 Value: 0
Virtual adress: 57314	Physical address: 30946	 Value: 55
Virtual adress: 12659	Physical address: 31091	 Value: 92
Virtual adress: 14052	Physical address: 31460	 Value: 0
Virtual adress: 32956	Physical address: 4284	 Value: 0
Virtual adress: 49273	Physical address: 8569	 Value: 0
Virtual adress: 50352	Physical address: 14000	 Value: 0
Virtual adress: 49737	Physical address: 31561	 Value: 0
Virtual adress: 15555	Physical address: 31939	 Value: 48
Virtual adress: 47475	Physical address: 32115	 Value: 92
